,Unnamed: 0.1,Unnamed: 0,match_id,player1,player2,elapsed_time,set_no,game_no,point_no,p1_sets,p2_sets,p1_games,p2_games,p1_score,p2_score,server,serve_no,point_victor,p1_points_won,p2_points_won,game_victor,set_victor,p1_ace,p2_ace,p1_winner,p2_winner,winner_shot_type,p1_double_fault,p2_double_fault,p1_unf_err,p2_unf_err,p1_net_pt,p2_net_pt,p1_net_pt_won,p2_net_pt_won,p1_break_pt,p2_break_pt,p1_break_pt_won,p2_break_pt_won,p1_break_pt_missed,p2_break_pt_missed,p1_distance_run,p2_distance_run,rally_count,speed_mph,serve_width,serve_depth,return_depth,P1S,P2S,SGA,SGA1,RE,RE1,Unf_err_cnt,Unf_err_cnt1,STB,LTB,STH,LTH,STB1,LTB1,STH1,LTH1,Net-cnt,Net-sc-rate,Net-cnt1,Net-sc-rate1,BTS,BTS1,SD,SD1,SW,SW1
10,10,11,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:07:28,1,2,12,0,0,1,0,0,15,2,1,1,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1257913215578358,18.244,4,130.0,W,NCTL,D,1.0,1.0,0.0,0.0,0.28883314599832555,0.1770972326464891,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.5,0.0,1.0,3.5,2.0,31.2,31.2
11,11,12,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:08:06,1,2,13,0,0,1,0,15,15,2,1,1,8,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.1682820697040761,18.626,4,120.0,C,NCTL,D,2.0,1.0,1.0,-1.0,0.47849825800832746,0.14404232853346938,0.0,-1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.5,0.0,1.0,3.5,2.0,0.0,0.0
12,12,13,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:08:41,1,2,14,0,0,1,0,30,15,2,1,2,8,6,0,0,0,0,0,1,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0642681885344792,7.112,3,128.0,W,NCTL,ND,2.0,2.0,0.0,0.0,0.09571146625804351,0.15609867807819375,0.0,-1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.5,0.0,1.0,3.5,2.0,31.2,31.2
13,13,14,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:09:11,1,2,15,0,0,1,0,30,30,2,1,2,8,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0150063034608033,2.237,1,130.0,C,NCTL,ND,2.0,3.0,-1.0,1.0,0.018072391826746168,0.04435333084032262,0.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.5,0.0,1.0,3.5,2.0,0.0,0.0
14,14,15,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:09:37,1,2,16,0,0,1,0,30,40,2,2,1,9,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0278911195759736,4.307,2,97.0,BW,NCTL,D,3.0,3.0,0.0,0.0,0.07014118210960243,0.04300686890775353,0.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.5,0.0,1.0,3.5,2.0,23.4,23.4
15,15,17,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:10:45,1,2,18,0,0,1,0,40,AD,2,1,2,9,9,2,0,0,0,0,1,F,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0.0949518090254714,16.594,3,116.0,C,NCTL,ND,3.0,4.0,-1.0,1.0,0.11463469257415525,0.24926763030503332,0.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,3.0,0.6666666666666666,0.0,1.0,3.5,2.0,0.0,0.0
16,16,19,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:11:47,1,3,20,0,0,1,1,15,0,1,1,1,11,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1145670945790236,34.756,5,127.0,W,CTL,D,1.0,0.0,1.0,-1.0,0.10279066656125897,0.0,0.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,3.0,0.6666666666666666,1.0,0.0,2.0,3.5,31.2,31.2
17,17,20,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:12:17,1,3,21,0,0,1,1,30,0,1,1,2,11,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0413656142824221,10.818,2,114.0,BW,NCTL,D,1.0,1.0,0.0,0.0,0.06295862524912753,0.10268109516275731,0.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,3.0,0.6666666666666666,1.0,0.0,3.5,2.0,23.4,23.4
18,18,21,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:12:44,1,3,22,0,0,1,1,30,15,1,1,1,12,10,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.2777657281513914,32.944,9,127.0,B,NCTL,ND,2.0,1.0,1.0,-1.0,0.7221337650665394,0.21738392416679478,0.0,-2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,3.0,0.6666666666666666,1.0,0.0,3.5,2.0,0.0,0.0
19,19,22,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:13:26,1,3,23,0,0,1,1,40,15,1,2,1,13,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0176022448453957,4.479,1,103.0,BC,NCTL,D,3.0,1.0,2.0,-2.0,0.06585873202506787,0.012747857914874152,0.0,-2.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0,3.0,0.6666666666666666,1.0,0.0,3.5,2.0,7.8,7.8
20,20,23,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:15:31,1,4,24,0,0,2,1,0,0,2,2,2,13,11,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0773766758394447,13.713,3,107.0,BC,NCTL,ND,0.0,1.0,-1.0,1.0,0.0,0.07181952011273697,-1.0,-2.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0,0.6666666666666666,0.0,1.0,3.5,2.0,7.8,7.8
21,21,24,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:16:15,1,4,25,0,0,2,1,0,15,2,1,2,13,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0931285499328986,13.976,3,111.0,BW,NCTL,ND,0.0,2.0,-2.0,2.0,0.0,0.0851945088604769,-1.0,-2.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0,0.6666666666666666,0.0,1.0,3.5,2.0,23.4,23.4
22,22,27,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:17:49,1,5,28,0,0,2,2,0,0,1,1,1,14,14,0,0,0,0,1,0,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0960227195705512,29.366,5,116.0,W,CTL,ND,1.0,0.0,1.0,-1.0,0.0876101542933118,0.0,0.0,-2.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0,0.6666666666666666,1.0,0.0,2.0,3.5,31.2,31.2
23,23,28,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:18:25,1,5,29,0,0,2,2,15,0,1,1,1,15,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0210115360110615,8.276,1,129.0,C,NCTL,ND,2.0,0.0,2.0,-2.0,0.020579136738405928,0.0,0.0,-2.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0,0.6666666666666666,1.0,0.0,3.5,2.0,0.0,0.0
24,24,29,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:18:50,1,5,30,0,0,2,2,30,0,1,1,1,16,14,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0.0731269232333365,12.523,3,110.0,BC,NCTL,ND,3.0,0.0,3.0,-3.0,0.06814377838271427,0.0,0.0,-2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,2.0,1.0,3.0,0.6666666666666666,1.0,0.0,3.5,2.0,7.8,7.8
25,25,30,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:19:20,1,5,31,0,0,2,2,40,0,1,2,2,16,15,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0299854952622375,6.965,2,113.0,BC,NCTL,ND,3.0,1.0,2.0,-2.0,0.08172923609312084,0.05056748258506264,-1.0,-2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,2.0,1.0,3.0,0.6666666666666666,1.0,0.0,3.5,2.0,7.8,7.8
26,26,31,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:20:03,1,5,32,0,0,2,2,40,15,1,2,2,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0497024495384239,12.74,2,104.0,BC,NCTL,D,3.0,2.0,1.0,-1.0,0.09469816815284961,0.10522824560866875,-1.0,-2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,2.0,1.0,3.0,0.6666666666666666,1.0,0.0,3.5,2.0,7.8,7.8
27,27,32,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:20:55,1,5,33,0,0,2,2,40,30,1,1,2,16,17,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0520137184996408,11.439,2,111.0,B,CTL,D,3.0,3.0,0.0,0.0,0.07836380067606989,0.1278058541255455,-2.0,-2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,2.0,1.0,3.0,0.6666666666666666,1.0,0.0,2.0,3.5,0.0,0.0
28,28,33,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:21:27,1,5,34,0,0,2,2,40,40,1,2,1,17,17,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0.2006059455868996,25.6,5,97.0,C,CTL,D,4.0,3.0,1.0,-1.0,0.4802871396559913,0.22087732985791206,-2.0,-2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,3.0,1.0,3.0,0.6666666666666666,1.0,0.0,2.0,3.5,0.0,0.0
29,29,34,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:22:19,1,5,35,0,0,2,2,AD,40,1,1,1,18,17,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0.0382206617956052,9.574,1,114.0,C,NCTL,D,5.0,3.0,2.0,-2.0,0.11469199702978268,0.041875623431885244,-2.0,-2.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,1.0,4.0,1.0,3.0,0.6666666666666666,1.0,0.0,3.5,2.0,0.0,0.0
30,30,35,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:24:22,1,6,36,0,0,3,2,0,0,2,1,2,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0448969079152489,6.11,1,110.0,W,CTL,ND,0.0,1.0,-1.0,1.0,0.0,0.04296778713301587,0.0,-2.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,1.0,4.0,1.0,3.0,0.6666666666666666,0.0,1.0,2.0,3.5,31.2,31.2
31,31,36,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:24:53,1,6,37,0,0,3,2,0,15,2,2,1,19,18,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.1891648253331344,29.593,6,90.0,BW,NCTL,ND,1.0,1.0,0.0,0.0,0.41119949860998883,0.25212581823927865,0.0,-3.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,1.0,4.0,1.0,3.0,0.6666666666666666,0.0,1.0,3.5,2.0,23.4,23.4
32,32,37,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:26:05,1,6,38,0,0,3,2,15,15,2,1,2,19,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0381596605620247,5.189,1,125.0,C,NCTL,D,1.0,2.0,-1.0,1.0,0.03675702496605036,0.12210419391919887,0.0,-3.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,1.0,4.0,1.0,3.0,0.6666666666666666,0.0,1.0,3.5,2.0,0.0,0.0
33,33,38,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:26:30,1,6,39,0,0,3,2,15,30,2,1,2,19,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0101194268595209,2.617,1,127.0,B,NCTL,ND,1.0,3.0,-2.0,2.0,0.007382958123411517,0.03814227173294136,0.0,-3.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,1.0,4.0,1.0,3.0,0.6666666666666666,0.0,1.0,3.5,2.0,0.0,0.0
34,34,39,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:26:56,1,6,40,0,0,3,2,15,40,2,2,2,19,21,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0261491954615082,4.667,1,111.0,BW,NCTL,ND,1.0,4.0,-3.0,3.0,0.014906505639397464,0.10626153039422724,0.0,-3.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,2.0,4.0,1.0,3.0,0.6666666666666666,0.0,1.0,3.5,2.0,23.4,23.4
35,35,40,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:27:42,1,7,41,0,0,3,3,0,0,1,2,1,20,21,0,0,0,0,1,0,B,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.2239965297076007,32.677,9,107.0,BW,NCTL,ND,1.0,0.0,1.0,-1.0,0.18300421959620342,0.0,0.0,-3.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,2.0,4.0,1.0,4.0,0.5,1.0,0.0,3.5,2.0,23.4,23.4
36,36,41,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:28:37,1,7,42,0,0,3,3,15,0,1,1,1,21,21,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0.0588797462348683,19.138,3,120.0,C,NCTL,ND,2.0,0.0,2.0,-2.0,0.05560569691150584,0.0,0.0,-4.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,2.0,4.0,1.0,5.0,0.4,1.0,0.0,3.5,2.0,0.0,0.0
37,37,42,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:29:06,1,7,43,0,0,3,3,30,0,1,1,1,22,21,0,0,0,0,1,0,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0345131423768791,11.043,3,115.0,W,CTL,ND,3.0,0.0,3.0,-3.0,0.033361724431631976,0.0,0.0,-4.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,2.0,4.0,1.0,5.0,0.4,1.0,0.0,2.0,3.5,31.2,31.2
38,38,43,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:29:32,1,7,44,0,0,3,3,40,0,1,2,2,22,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1144857596009163,18.664,6,104.0,BW,NCTL,D,3.0,1.0,2.0,-2.0,0.2883860632155822,0.17843011786887572,0.0,-4.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,2.0,4.0,1.0,5.0,0.4,1.0,0.0,3.5,2.0,23.4,23.4
39,39,44,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:30:17,1,7,45,0,0,3,3,40,15,1,2,1,23,22,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.2070110751128522,25.324,5,101.0,B,NCTL,D,4.0,1.0,3.0,-3.0,0.7151721102541051,0.10032527345589366,0.0,-4.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,2.0,4.0,1.0,6.0,0.3333333333333333,1.0,0.0,3.5,2.0,0.0,0.0
40,40,45,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:32:34,1,8,46,0,0,4,3,0,0,2,1,2,23,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0318155322696525,4.853,1,132.0,C,CTL,D,0.0,1.0,-1.0,1.0,0.0,0.030834515739134948,0.0,-4.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,2.0,4.0,1.0,6.0,0.3333333333333333,0.0,1.0,2.0,3.5,0.0,0.0
41,41,48,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:33:58,1,8,49,0,0,4,3,15,30,2,2,1,25,24,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.1128726158684541,18.464,6,101.0,BW,NCTL,D,1.0,1.0,0.0,0.0,0.26217868533908295,0.16075412491859714,0.0,-5.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,2.0,4.0,1.0,6.0,0.3333333333333333,0.0,1.0,3.5,2.0,23.4,23.4
42,42,49,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:34:46,1,8,50,0,0,4,3,30,30,2,2,1,26,24,0,0,0,0,1,0,F,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.4107145277826728,54.356,16,106.0,B,NCTL,D,2.0,1.0,1.0,-1.0,0.9671440266260898,0.2911393621416971,0.0,-5.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,2.0,4.0,1.0,7.0,0.2857142857142857,0.0,1.0,3.5,2.0,0.0,0.0
43,43,50,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:36:02,1,8,51,0,0,4,3,40,30,2,2,1,27,24,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0.1931163496861824,19.121,6,106.0,B,NCTL,ND,3.0,1.0,2.0,-2.0,0.6162538001435277,0.11928434760542823,0.0,-6.0,1.0,1.0,1.0,4.0,0.0,0.0,0.0,2.0,4.0,1.0,7.0,0.2857142857142857,0.0,1.0,3.5,2.0,0.0,0.0
44,44,51,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:37:18,1,9,52,0,0,5,3,0,0,1,1,1,28,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0146131843999512,4.725,1,115.0,BW,NCTL,D,1.0,0.0,1.0,-1.0,0.014402714871671543,0.0,0.0,-6.0,1.0,1.0,0.0,4.0,0.0,0.0,0.0,2.0,4.0,1.0,7.0,0.2857142857142857,1.0,0.0,3.5,2.0,23.4,23.4
45,45,52,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:37:44,1,9,53,0,0,5,3,15,0,1,2,2,28,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.029436484160013,7.524,2,100.0,BW,NCTL,D,1.0,1.0,0.0,0.0,0.04532161455766013,0.07391636966198521,0.0,-6.0,1.0,1.0,0.0,4.0,0.0,0.0,0.0,2.0,4.0,1.0,7.0,0.2857142857142857,1.0,0.0,3.5,2.0,23.4,23.4
46,46,53,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:38:26,1,9,54,0,0,5,3,15,15,1,1,1,29,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0206184169502094,6.116,1,122.0,BC,NCTL,D,2.0,1.0,1.0,-1.0,0.06710921280812417,0.02020188604064281,0.0,-6.0,1.0,1.0,0.0,4.0,0.0,0.0,0.0,2.0,4.0,1.0,7.0,0.2857142857142857,1.0,0.0,3.5,2.0,7.8,7.8
47,47,54,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:38:54,1,9,55,0,0,5,3,30,15,1,1,2,29,26,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0709579904838075,11.702,4,115.0,C,NCTL,ND,2.0,2.0,0.0,0.0,0.10501416025903769,0.1712707185127859,0.0,-6.0,1.0,1.0,0.0,4.0,0.0,0.0,0.0,2.0,5.0,0.8,7.0,0.2857142857142857,1.0,0.0,3.5,2.0,0.0,0.0
48,48,55,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:39:29,1,9,56,0,0,5,3,30,30,1,1,1,30,26,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0.0688297252233322,11.519,3,129.0,C,NCTL,ND,3.0,2.0,1.0,-1.0,0.19319183476755444,0.07871874489464725,0.0,-6.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,2.0,6.0,0.8333333333333334,7.0,0.2857142857142857,1.0,0.0,3.5,2.0,0.0,0.0
49,49,57,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:40:33,1,9,58,0,0,5,3,40,40,1,1,1,31,27,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.2049844785750111,29.751,7,114.0,BW,NCTL,D,4.0,2.0,2.0,-2.0,0.5651057839346075,0.1701137916875256,0.0,-6.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,2.0,6.0,0.8333333333333334,8.0,0.25,1.0,0.0,3.5,2.0,23.4,23.4
